Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PRB.DL.NsaDc.Used.Avg","L.ChMeas.PRB.UL.NsaDc.Used.Avg","L.NsaDc.Capable.5gUser.NoScg.BorderUE.Avg","L.NsaDc.Capable.5gUser.RRC.Avg","L.NsaDc.Capable.5gUser.RRC.Max","L.NsaDc.Capable.E-RAB.AttEst.QCI.1","L.NsaDc.Capable.E-RAB.SuccEst.QCI.1","L.NsaDc.Capable.User.RRC.Avg","L.NsaDc.Capable.User.RRC.Max","L.NsaDc.DRB.Add.Att","L.NsaDc.DRB.Add.Succ","L.NsaDc.E-RAB.AbnormRel","L.NsaDc.E-RAB.Mod.Ind.Att.E-RAB","L.NsaDc.E-RAB.Mod.Ind.Succ.E-RAB","L.NsaDc.E-RAB.NormRel","L.NsaDc.HHO.ExecAttOut","L.NsaDc.HHO.ExecSuccOut","L.NsaDc.MenbTrig.SgNB.NormRel","L.NsaDc.MenbTrig.SgNB.Rel","L.NsaDc.PCell.Change.Exec","L.NsaDc.PCell.Change.Succ","L.NsaDc.SgNB.Rmv.Att","L.Thrp.bits.DL.LastTTI.NsaDc","L.Thrp.bits.DL.NsaDc","L.Thrp.bits.DL.NsaDc.MCG","L.Thrp.bits.UL.NsaDc","L.Thrp.Time.DL.RmvLastTTI.NsaDc","L.Thrp.Time.UL.NsaDc","L.Traffic.User.NsaDc.PCell.Avg","L.Traffic.User.NsaDc.PCell.Max"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bit,bit,bit,bit,ms,ms,None,None
2022-11-09 00:00,60,"E_BDG852_SOMAWINATA-DMT/Cell:eNodeB Function Name=E_BDG852M41_SOMAWINATA-DMT, Local Cell ID=31, Cell Name=E_BDG852ML1_SOMAWINATA-DMT_ML03, eNodeB ID=149852, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.029,1,0,0,0.626,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507560,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG852_SOMAWINATA-DMT/Cell:eNodeB Function Name=E_BDG852M41_SOMAWINATA-DMT, Local Cell ID=33, Cell Name=E_BDG852MR1_SOMAWINATA-DMT_MR03, eNodeB ID=149852, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0.032,0.24,2,0,0,1.948,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21302304,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG852_SOMAWINATA-DMT/Cell:eNodeB Function Name=E_BDG852M41_SOMAWINATA-DMT, Local Cell ID=23, Cell Name=E_BDG852MR1_SOMAWINATA-DMT_MR02, eNodeB ID=149852, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0.004,1.071,3,0,0,2.464,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048587552,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG852_SOMAWINATA-DMT/Cell:eNodeB Function Name=E_BDG852M41_SOMAWINATA-DMT, Local Cell ID=13, Cell Name=E_BDG852MR1_SOMAWINATA-DMT_MR01, eNodeB ID=149852, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0.002,0.264,2,0,0,1.994,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891536,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG853_CAMPAKAPDL-TBG/Cell:eNodeB Function Name=E_BDG853M41_CAMPAKAPDL-TBG, Local Cell ID=11, Cell Name=E_BDG853ML1_CAMPAKAPDL-TBG_ML01, eNodeB ID=149853, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.029,1,0,0,0.107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4775376,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG853_CAMPAKAPDL-TBG/Cell:eNodeB Function Name=E_BDG853M41_CAMPAKAPDL-TBG, Local Cell ID=21, Cell Name=E_BDG853ML1_CAMPAKAPDL-TBG_ML02, eNodeB ID=149853, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.023,1,0,0,0.521,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5333552,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG853_CAMPAKAPDL-TBG/Cell:eNodeB Function Name=E_BDG853M41_CAMPAKAPDL-TBG, Local Cell ID=31, Cell Name=E_BDG853ML1_CAMPAKAPDL-TBG_ML03, eNodeB ID=149853, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.001,1,0,0,0.961,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6192,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG853_CAMPAKAPDL-TBG/Cell:eNodeB Function Name=E_BDG853M41_CAMPAKAPDL-TBG, Local Cell ID=33, Cell Name=E_BDG853MR1_CAMPAKAPDL-TBG_MR03, eNodeB ID=149853, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.017,1,0,0,0.749,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG853_CAMPAKAPDL-TBG/Cell:eNodeB Function Name=E_BDG853M41_CAMPAKAPDL-TBG, Local Cell ID=23, Cell Name=E_BDG853MR1_CAMPAKAPDL-TBG_MR02, eNodeB ID=149853, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0.003,0.113,2,0,0,2.27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7131608,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG853_CAMPAKAPDL-TBG/Cell:eNodeB Function Name=E_BDG853M41_CAMPAKAPDL-TBG, Local Cell ID=13, Cell Name=E_BDG853MR1_CAMPAKAPDL-TBG_MR01, eNodeB ID=149853, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.273,2,0,0,1.029,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36947384,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=11, Cell Name=E_BDG886ML1_TRSLEBANG-TBG_ML01, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=12, Cell Name=E_BDG886MT1_TRSLEBANG-TBG_MT01, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0.921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=21, Cell Name=E_BDG886ML1_TRSLEBANG-TBG_ML02, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.003,1,0,0,0.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=22, Cell Name=E_BDG886MT1_TRSLEBANG-TBG_MT02, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.003,1,0,0,1.01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0
