Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PDCCH.AggLvl1Num","L.ChMeas.PDCCH.AggLvl2Num","L.ChMeas.PDCCH.AggLvl4Num","L.ChMeas.PDCCH.AggLvl8Num","L.RA.TA.UE.Index0","L.RA.TA.UE.Index1","L.RA.TA.UE.Index10","L.RA.TA.UE.Index11","L.RA.TA.UE.Index2","L.RA.TA.UE.Index3","L.RA.TA.UE.Index4","L.RA.TA.UE.Index5","L.RA.TA.UE.Index6","L.RA.TA.UE.Index7","L.RA.TA.UE.Index8","L.RA.TA.UE.Index9","L.UL.Interference.Avg"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,dBm
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=32, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,532995,795365,288036,427292,1,219,0,0,1851,1436,483,338,0,0,0,0,-109
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=22, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,549190,916644,207998,530372,8,66,0,0,1781,2549,165,735,24,54,0,0,-110
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=12, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,241694,528145,161783,436897,4,79,0,0,1254,199,31,4,0,0,0,0,-111
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=21, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,385464,1323088,266074,389405,71,458,0,0,2118,1013,302,68,35,0,0,0,-117
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=11, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,465578,1060790,150167,268162,6,103,0,0,1474,689,52,6,0,0,0,0,-117
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=31, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,426548,973950,257658,386689,20,400,0,0,2186,1380,544,161,0,0,0,0,-117
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=51, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,208027,346368,28709,46294,2070,676,0,0,48,2,0,0,0,0,0,0,-113
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=41, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,632127,869742,39453,80277,3598,900,0,0,56,0,0,0,0,0,0,0,-113
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=31, Cell Name=E_JKS428ML1_Masjidgglimo_ML03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,2036,559549,16115,42620,299,1653,0,0,271,21,4,0,0,0,0,0,-110
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=21, Cell Name=E_JKS428ML1_Masjidgglimo_ML02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,1474,1072442,51183,119677,238,2358,0,0,1870,199,14,0,0,0,0,0,-108
