Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.DL.DrbUsed.Avg.ExtQci.Index0","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI6","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI7","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI8","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI9","L.ChMeas.PRB.UL.Avail","L.ChMeas.PRB.UL.DrbUsed.Avg.ExtQci.Index0","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI6","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI7","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI8","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI9","L.E-RAB.AbnormRel.ExtQCI.Index0","L.E-RAB.AbnormRel.QCI.3","L.E-RAB.AbnormRel.QCI.6","L.E-RAB.AbnormRel.QCI.7","L.E-RAB.AbnormRel.QCI.8","L.E-RAB.AbnormRel.QCI.9","L.E-RAB.AbnormRel.TNL","L.E-RAB.AbnormRel.TNL.Load","L.E-RAB.AbnormRel.TNL.Other","L.E-RAB.AbnormRel.TNL.Other.VoIP","L.E-RAB.AbnormRel.TNL.VoIP","L.E-RAB.AttEst.ExtQCI.Index0","L.E-RAB.AttEst.QCI.3","L.E-RAB.AttEst.QCI.6","L.E-RAB.AttEst.QCI.7","L.E-RAB.AttEst.QCI.8","L.E-RAB.AttEst.QCI.9","L.E-RAB.FailEst.TNL","L.E-RAB.FailEst.TNL.DLRes","L.E-RAB.FailEst.TNL.DLRes.VoIP","L.E-RAB.FailEst.TNL.Other","L.E-RAB.FailEst.TNL.Other.VoIP","L.E-RAB.FailEst.TNL.ULRes","L.E-RAB.FailEst.TNL.ULRes.VoIP","L.E-RAB.FailEst.TNL.VoIP","L.E-RAB.NormRel.ExtQCI.Index0","L.E-RAB.NormRel.QCI.3","L.E-RAB.NormRel.QCI.6","L.E-RAB.NormRel.QCI.7","L.E-RAB.NormRel.QCI.8","L.E-RAB.NormRel.QCI.9","L.E-RAB.SuccEst.ExtQCI.Index0","L.E-RAB.SuccEst.QCI.3","L.E-RAB.SuccEst.QCI.6","L.E-RAB.SuccEst.QCI.7","L.E-RAB.SuccEst.QCI.8","L.E-RAB.SuccEst.QCI.9","L.Thrp.bits.DL.ExtQCI.Index0","L.Thrp.bits.DL.LastTTI.QCI.3","L.Thrp.bits.DL.LastTTI.QCI.6","L.Thrp.bits.DL.LastTTI.QCI.7","L.Thrp.bits.DL.LastTTI.QCI.8","L.Thrp.bits.DL.LastTTI.QCI.9","L.Thrp.bits.DL.QCI.3","L.Thrp.bits.DL.QCI.6","L.Thrp.bits.DL.QCI.7","L.Thrp.bits.DL.QCI.8","L.Thrp.bits.DL.QCI.9","L.Thrp.bits.UL.ExtQCI.Index0","L.Thrp.bits.UL.QCI.3","L.Thrp.bits.UL.QCI.6","L.Thrp.bits.UL.QCI.7","L.Thrp.bits.UL.QCI.8","L.Thrp.bits.UL.QCI.9","L.Thrp.Time.DL.ExtQCI.Index0","L.Thrp.Time.DL.QCI.3","L.Thrp.Time.DL.QCI.6","L.Thrp.Time.DL.QCI.7","L.Thrp.Time.DL.QCI.8","L.Thrp.Time.DL.QCI.9","L.Thrp.Time.DL.RmvLastTTI.QCI.3","L.Thrp.Time.DL.RmvLastTTI.QCI.6","L.Thrp.Time.DL.RmvLastTTI.QCI.7","L.Thrp.Time.DL.RmvLastTTI.QCI.8","L.Thrp.Time.DL.RmvLastTTI.QCI.9","L.Thrp.Time.UL.ExtQCI.Index0","L.Thrp.Time.UL.QCI.3","L.Thrp.Time.UL.QCI.6","L.Thrp.Time.UL.QCI.7","L.Thrp.Time.UL.QCI.8","L.Thrp.Time.UL.QCI.9","L.Traffic.ActiveUser.DL.ExtQCI.Index0","L.Traffic.ActiveUser.DL.QCI.3","L.Traffic.ActiveUser.DL.QCI.6","L.Traffic.ActiveUser.DL.QCI.7","L.Traffic.ActiveUser.DL.QCI.8","L.Traffic.ActiveUser.DL.QCI.9","L.Traffic.ActiveUser.UL.ExtQCI.Index0","L.Traffic.ActiveUser.UL.QCI.3","L.Traffic.ActiveUser.UL.QCI.6","L.Traffic.ActiveUser.UL.QCI.7","L.Traffic.ActiveUser.UL.QCI.8","L.Traffic.ActiveUser.UL.QCI.9"
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=25, Cell Name=E_JKS803VF2_Gedungnucirave_VF02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,0.17,0.063,0.414,0.005,100,0,0.162,0.026,0.115,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21,49,3,0,0,0,0,,0,0,0,0,0,69,27,107,6,0,0,46,21,49,3,0,0,39727248,10011192,26096080,455096,0,139927048,78423456,325072016,1496440,0,0,29984648,5333896,20594320,342312,0,0,11171,3171,24863,268,0,4472,1925,20041,128,0,0,13323,2695,9732,233,0,0,0.009,0.002,0.014,0,0,0,0.014,0.003,0.01,0
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=24, Cell Name=E_JKS803VE2_Gedungnucirave_VE02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,0.854,0.219,0.511,0.064,100,0,1.098,0.057,0.407,0.037,0,0,0,1,0,0,0,0,0,0,0,0,0,658,103,480,8,0,0,0,0,,0,0,0,0,1,501,76,343,24,0,0,655,102,478,8,0,0,190889256,13519640,81878712,6827304,0,630052120,175508360,424993064,64538568,0,16,114653424,8010616,72758328,8235424,0,1,112228,10935,31160,26603,0,22550,8857,16683,13205,0,1,184838,4443,29252,2201,0,0,0.09,0.005,0.019,0.008,0,0,0.084,0.004,0.03,0.003
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=15, Cell Name=E_JKP148VF2_Salembatngh_VF01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,50,0,0.607,0.331,1.832,0.099,50,0,0.825,0.134,0.719,1.544,0,0,0,0,0,0,0,0,0,0,0,0,0,157,66,163,125,0,0,0,0,,0,0,0,0,0,204,61,161,127,0,0,157,66,163,125,0,0,123651136,10252984,112345304,25913256,0,650342496,330673128,2442473592,117710048,0,0,216331800,15200472,116032728,539040768,0,0,97252,34774,174398,38840,0,44812,32861,152576,5413,0,0,77288,8667,76933,37517,0,0,0.062,0.012,0.067,0.03,0,0,0.073,0.017,0.103,0.049
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=14, Cell Name=E_JKP148VE2_Salembatngh_VE01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.005,8.52,0.288,6.752,0.283,100,0.052,5.33,0.384,2.768,0.134,0,0,3,0,1,0,0,0,0,0,0,49,0,6101,1192,3626,419,0,0,0,0,,0,0,0,48,0,5569,1088,3346,381,49,0,6097,1192,3624,419,2264432,0,1349171672,68260200,767260192,78177800,0,9272038320,229573672,7303406264,455297392,6881512,0,1042011928,75366952,436317648,24690128,854,0,607283,23886,362604,16480,0,334252,8022,256906,9480,1374,0,456581,27113,221910,11163,0.001,0,0.358,0.018,0.191,0.01,0.002,0,0.441,0.024,0.214,0.009
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=15, Cell Name=E_JSX024VF2_Kramatkebayoranlm-TBG_VF01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,50,0,1.581,0.658,4.846,1.495,50,0,1.234,0.444,1.587,0.49,0,0,6,0,2,0,0,0,0,0,0,4,0,338,160,429,145,0,0,0,0,,0,0,0,1,0,262,100,338,65,4,0,333,160,429,145,43792,0,102350976,38842288,594913464,661719208,0,1922654176,999146328,6400362256,4213859808,45376,0,189013024,115328520,260183560,73445624,30,0,180239,64248,510056,1548115,0,149437,54998,432819,657095,34,0,88005,47212,196974,110546,0,0,0.082,0.026,0.21,0.448,0,0,0.098,0.051,0.183,0.052
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=14, Cell Name=E_JSX024VE2_Kramatkebayoranlm-TBG_VE01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.001,8.661,1.784,31.006,0.463,100,0.006,4.27,1.002,7.495,0.099,0,0,0,0,0,0,0,0,0,0,0,53,9,5237,1282,4885,335,0,0,0,0,,0,0,0,12,9,3875,892,3703,109,53,9,5234,1281,4882,335,694200,477880,823398440,357257672,3323646200,22656568,643784,9931859360,2651239808,40730041576,367036432,1024712,722640,652129384,241540128,1304432288,15376336,303,203,605825,123217,1915836,150577,46,459574,78636,1559644,91150,422,460,310839,76607,897545,12697,0,0,0.3,0.073,0.816,0.045,0,0,0.311,0.07,0.71,0.009
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=32, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,50,0,9.602,3.071,4.75,0,50,0,1.252,0.535,0.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,665,2017,3,0,0,0,0,,0,0,0,0,0,1009,642,1972,3,0,0,1010,665,2016,3,0,0,203036848,26786920,42725768,704,0,7712370152,3089886632,3242989480,704,0,0,395816064,259629400,265302760,400,0,0,1216042,379260,608550,1,0,1143007,359018,570287,0,0,0,377633,102461,144971,1,0,0,0.418,0.119,0.204,0,0,0,0.296,0.062,0.115,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=22, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,50,0.001,4.549,1.277,7.504,0.308,50,0,0.965,0.357,1.446,0.051,0,0,0,0,2,0,0,0,0,0,0,5,0,1727,468,2015,148,0,0,0,0,,0,0,0,6,0,1841,442,2054,159,5,0,1727,467,2015,148,74032,0,62506576,33426128,90453680,1711432,0,3824717248,1296445000,6990484952,213057992,25048,0,373519344,297347136,589103688,17986256,611,0,680029,219850,1079360,105316,0,627260,195034,971307,76177,136,0,262323,108133,409265,14175,0,0,0.269,0.098,0.396,0.031,0,0,0.185,0.072,0.318,0.009
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=12, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,50,0,1.143,0.53,6.863,0,50,0,0.382,0.037,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,173,624,0,0,0,0,0,,0,0,0,0,0,427,167,734,0,0,0,435,173,624,0,0,0,39732688,2077072,100489248,0,0,942707712,275259544,6377323608,0,0,0,141380456,11912656,302048272,0,0,0,218778,69505,826324,0,0,168175,67623,761166,0,0,0,153522,10724,311733,0,0,0,0.131,0.021,0.32,0,0,0,0.108,0.006,0.197,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=21, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,7.241,3.764,8.606,5.276,95,0,3.101,0.36,1.6,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,448,1522,143,0,0,0,0,,0,0,0,0,0,1384,436,1541,210,0,0,1378,448,1522,143,0,0,161960552,22667120,103598032,30923496,0,6262860976,3048070208,6506080680,6934254336,0,0,1001421616,99927712,697411504,209800560,0,0,477489,237488,519001,1248983,0,415439,216499,434880,774083,0,0,358607,79793,327321,125339,0,0,0.286,0.093,0.337,0.373,0,0,0.31,0.044,0.219,0.076
