Result Time,Granularity Period,Object Name,Reliability,"L.PDCP.Tx.Disc.Trf.SDU.QCI.1","L.PDCP.Tx.Disc.Trf.SDU.QCI.2","L.PDCP.Tx.TotRev.Trf.SDU.QCI.1","L.PDCP.Tx.TotRev.Trf.SDU.QCI.2","L.Traffic.DL.PktUuLoss.Loss.QCI.2","L.Traffic.UL.PktLoss.Loss.QCI.2","L.Traffic.UL.PktLoss.Tot.QCI.2","L.Voice.E2EVQI.Accept.Times","L.Voice.E2EVQI.AMRWB.Accept.Times","L.Voice.E2EVQI.AMRWB.Bad.Times","L.Voice.E2EVQI.AMRWB.Excellent.Times","L.Voice.E2EVQI.AMRWB.Good.Times","L.Voice.E2EVQI.AMRWB.Poor.Times","L.Voice.E2EVQI.Bad.Times","L.Voice.E2EVQI.Excellent.Times","L.Voice.E2EVQI.Good.Times","L.Voice.E2EVQI.Poor.Times","L.Voice.VQI.DL.Accept.Times","L.Voice.VQI.DL.Bad.Times","L.Voice.VQI.DL.Excellent.Times","L.Voice.VQI.DL.Good.Times","L.Voice.VQI.DL.Poor.Times","L.Voice.VQI.UL.Accept.Times","L.Voice.VQI.UL.Bad.Times","L.Voice.VQI.UL.Excellent.Times","L.Voice.VQI.UL.Good.Times","L.Voice.VQI.UL.Poor.Times"
,Minutes,,,packet,packet,packet,packet,packet,packet,packet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=14, Cell Name=E_JKP148VE2_Salembatngh_VE01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=15, Cell Name=E_JSX024VF2_Kramatkebayoranlm-TBG_VF01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=14, Cell Name=E_JSX024VE2_Kramatkebayoranlm-TBG_VE01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=32, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=22, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=12, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=21, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=11, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=31, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=51, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
