Result Time,Granularity Period,Object Name,Reliability,"L.Cell.Unavail.Dur.Sys","L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.DL.Used.Avg","L.ChMeas.PRB.UL.Avail","L.ChMeas.PRB.UL.Used.Avg","L.CSFB.PrepAtt","L.CSFB.PrepSucc","L.E-RAB.AbnormRel","L.E-RAB.AbnormRel.MME","L.E-RAB.AttEst","L.E-RAB.NormRel","L.E-RAB.SuccEst","L.HHO.IntereNB.InterFreq.ExecAttOut","L.HHO.IntereNB.InterFreq.ExecSuccOut","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntereNB.IntraFreq.Succ.ReEst2Src","L.HHO.IntraeNB.InterFreq.ExecAttOut","L.HHO.IntraeNB.InterFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.Succ.ReEst2Src","L.IRATHO.E2G.ExecAttOut","L.IRATHO.E2G.ExecSuccOut","L.IRATHO.E2W.ExecAttOut","L.IRATHO.E2W.ExecSuccOut","L.Paging.S1.Rx","L.RRCRedirection.E2G","L.RRCRedirection.E2G.Coverage","L.RRCRedirection.E2G.CSFB","L.RRCRedirection.E2G.Distance","L.RRCRedirection.E2G.Load","L.RRCRedirection.E2G.Ulquality","L.RRCRedirection.E2W","L.RRCRedirection.E2W.Coverage","L.RRCRedirection.E2W.CSFB","L.RRCRedirection.E2W.Distance","L.RRCRedirection.E2W.Load","L.RRCRedirection.E2W.Ulquality","L.RRC.ConnReq.Att.DelayTol","L.RRC.ConnReq.Att.Emc","L.RRC.ConnReq.Att.HighPri","L.RRC.ConnReq.Att.MoData","L.RRC.ConnReq.Att.MoSig","L.RRC.ConnReq.Att.Mt","L.RRC.ConnReq.Succ.DelayTol","L.RRC.ConnReq.Succ.Emc","L.RRC.ConnReq.Succ.HighPri","L.RRC.ConnReq.Succ.MoData","L.RRC.ConnReq.Succ.MoSig","L.RRC.ConnReq.Succ.Mt","L.S1Sig.ConnEst.Att","L.S1Sig.ConnEst.Succ","L.Thrp.bits.DL","L.Thrp.bits.DL.LastTTI","L.Thrp.bits.UE.UL.LastTTI","L.Thrp.bits.UL","L.Thrp.Time.Cell.DL.HighPrecision","L.Thrp.Time.Cell.UL.HighPrecision","L.Thrp.Time.DL.RmvLastTTI","L.Thrp.Time.UE.UL.RmvLastTTI","L.Traffic.ActiveUser.Avg","L.Traffic.ActiveUser.Max","L.Traffic.User.Avg","L.Traffic.User.Max"
,Minutes,,,s,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bit,bit,bit,bit,ms,ms,ms,ms,None,None,None,None
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=25, Cell Name=E_JKS803VF2_Gedungnucirave_VF02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,1.754,100,14.772,0,0,0,0,131,222,131,0,0,294,294,0,18,18,0,0,0,0,0,0,0,116518,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,72,45,25,0,0,12,72,45,25,154,154,544918960,76289616,19937504,56256616,27699,25356,26566,11767,0.046,3,1.736,8
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=24, Cell Name=E_JKS803VE2_Gedungnucirave_VE02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,3.081,100,22.875,1,1,2,0,1465,1089,1459,14,14,1082,1082,0,35,35,0,0,0,0,0,0,0,116518,0,0,0,0,0,0,1,0,1,0,0,0,0,0,26,776,166,358,0,0,26,771,165,358,1320,1320,1295494640,293468888,91146288,204144768,142209,204568,61310,47067,0.226,5,7.342,22
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=15, Cell Name=E_JKP148VF2_Salembatngh_VF01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,50,4.405,50,16.759,0,0,0,0,593,638,593,1,1,126,126,0,8,8,0,0,0,0,0,0,0,212815,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,300,304,132,0,0,9,300,304,132,745,745,3541359528,272314920,99228296,886835128,263728,182576,235666,120461,0.333,5,5.898,18
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=14, Cell Name=E_JKP148VE2_Salembatngh_VE01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,18.034,100,34.605,2,2,4,0,13738,12499,13732,0,0,395,395,2,39,39,0,0,0,0,0,0,0,212814,0,0,0,0,0,0,11,9,2,0,0,0,0,0,138,6867,1501,3522,0,0,138,6829,1496,3495,11958,11957,17267268080,2268234544,548030664,1591298064,741994,458808,608919,322713,1.127,9,53.478,74
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=15, Cell Name=E_JSX024VF2_Kramatkebayoranlm-TBG_VF01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,50,10.938,50,20.237,0,0,8,0,1221,851,1210,13,13,480,478,1,1730,1730,0,0,0,0,0,0,0,92756,0,0,0,0,0,0,8,8,0,0,0,0,0,0,3,576,275,313,0,0,3,576,275,313,1167,1156,13536170872,1397932864,209743304,638197792,630002,334938,1294365,178043,1.017,8,15.933,34
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=14, Cell Name=E_JSX024VE2_Kramatkebayoranlm-TBG_VE01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,46.255,100,37.742,2,2,0,0,13735,10012,13724,8,8,932,928,2,1650,1650,0,0,0,0,0,0,0,92756,2,0,2,0,0,0,27,27,0,0,0,0,0,0,94,6265,1159,4412,0,0,94,6261,1159,4412,11926,11925,53686755328,4532745392,833600632,2227861120,1519005,620236,2189360,502525,2.022,13,60.848,89
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=32, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,50,18.738,50,13.139,0,0,0,0,4034,3969,4032,45,45,244,243,1,104,103,41,41,0,0,0,0,0,188050,58,58,0,0,0,0,0,0,0,0,0,0,0,0,7,2017,508,1331,0,0,7,2017,507,1330,3861,3861,14046579864,272832792,269247952,922471944,1397340,586968,2072845,370676,1.041,8,21.952,32
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=22, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,50,15.006,50,16.107,1,1,2,0,4448,4585,4447,94,94,450,442,2,87,82,24,24,0,0,0,0,0,188049,255,254,1,0,0,0,0,0,0,0,0,0,0,0,0,2411,602,1523,0,0,0,2411,595,1523,4529,4529,12325187136,188168752,451018688,1278491208,1320464,713539,1870582,374953,1.225,10,28.193,47
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=12, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,50,9.679,50,10.45,2,2,0,0,1326,1421,1326,16,16,71,71,0,37,35,64,64,0,0,0,0,0,188049,0,0,0,0,0,0,2,0,2,0,0,0,0,0,50,668,178,380,0,0,50,668,178,380,1276,1276,7595637384,142399744,218366968,455778072,827503,447355,997090,156277,0.709,8,12.028,22
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=21, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,26.145,95,17.549,0,0,0,0,3926,4009,3926,37,37,318,317,0,49,49,24,24,0,0,0,0,0,188048,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1967,330,1208,0,0,5,1967,329,1208,3509,3509,22751890064,319300728,827817368,2009418080,1257689,799765,1841004,440722,1.57,9,26.105,38
