Result Time,Granularity Period,Object Name,Reliability,"L.NB.ChMeas.Subcarrier.15000Hz.UL.Used.Avg","L.NB.ChMeas.Subcarrier.3750Hz.UL.Used.Avg","L.NB.ChMeas.Subcarrier.DL.Used.Avg","L.NB.E-RAB.AbnormRel","L.NB.E-RAB.NormRel","L.NB.RRC.ConnReq.Att","L.NB.RRC.ConnReq.Succ","L.NB.Thrp.bits.DL.SRB","L.NB.Thrp.bits.UL.SRB","L.NB.Thrp.Time.DL.SRB","L.NB.Thrp.Time.UL.SRB","L.NB.Traffic.User.Max","L.NB.UECNTX.AbnormRel","L.NB.UECNTX.AbnormRel.Up","L.NB.UECNTX.NormRel","L.NB.UECNTX.NormRel.Up","L.NB.UL.Interference.15000Hz.Avg"
,Minutes,,,None,None,None,None,None,None,None,bit,bit,ms,ms,None,None,None,None,None,dBm
2022-11-08 01:00,60,"E_JKB559_Lianabakery/NB.Cell:eNodeB Function Name=E_JKB559M41_Lianabakery, Local Cell ID=222, Cell Name=E_JKB559MN1_Lianabakery_MN03, eNodeB ID=131559, Cell FDD TDD indication=CELL_FDD, NbCellFlag=TRUE",Reliable,,3974,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKB559_Lianabakery/NB.Cell:eNodeB Function Name=E_JKB559M41_Lianabakery, Local Cell ID=212, Cell Name=E_JKB559MN1_Lianabakery_MN02, eNodeB ID=131559, Cell FDD TDD indication=CELL_FDD, NbCellFlag=TRUE",Reliable,,3974,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKB559_Lianabakery/NB.Cell:eNodeB Function Name=E_JKB559M41_Lianabakery, Local Cell ID=202, Cell Name=E_JKB559MN1_Lianabakery_MN01, eNodeB ID=131559, Cell FDD TDD indication=CELL_FDD, NbCellFlag=TRUE",Reliable,,3974,,0,0,0,0,0,0,0,0,0,0,0,0,0,
