Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.ChMeas.PDSCH.MCS.0","L.ChMeas.PDSCH.MCS.1","L.ChMeas.PDSCH.MCS.10","L.ChMeas.PDSCH.MCS.11","L.ChMeas.PDSCH.MCS.12","L.ChMeas.PDSCH.MCS.13","L.ChMeas.PDSCH.MCS.14","L.ChMeas.PDSCH.MCS.15","L.ChMeas.PDSCH.MCS.16","L.ChMeas.PDSCH.MCS.17","L.ChMeas.PDSCH.MCS.18","L.ChMeas.PDSCH.MCS.19","L.ChMeas.PDSCH.MCS.2","L.ChMeas.PDSCH.MCS.20","L.ChMeas.PDSCH.MCS.21","L.ChMeas.PDSCH.MCS.22","L.ChMeas.PDSCH.MCS.23","L.ChMeas.PDSCH.MCS.24","L.ChMeas.PDSCH.MCS.25","L.ChMeas.PDSCH.MCS.26","L.ChMeas.PDSCH.MCS.27","L.ChMeas.PDSCH.MCS.28","L.ChMeas.PDSCH.MCS.29","L.ChMeas.PDSCH.MCS.3","L.ChMeas.PDSCH.MCS.30","L.ChMeas.PDSCH.MCS.31","L.ChMeas.PDSCH.MCS.4","L.ChMeas.PDSCH.MCS.5","L.ChMeas.PDSCH.MCS.6","L.ChMeas.PDSCH.MCS.7","L.ChMeas.PDSCH.MCS.8","L.ChMeas.PDSCH.MCS.9","L.ChMeas.RI.Rank1","L.ChMeas.RI.Rank2","L.ChMeas.RI.Rank3","L.ChMeas.RI.Rank4"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=25, Cell Name=E_JKS803VF2_Gedungnucirave_VF02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,699231,593450,3412,26031,0,2697,2143,1350,1865,1760,1718,0,1520,1574,753,1964,1722,1154,1071,3146,4683,286,2880,428,115,808,67,58,1369,1323,1233,2845,4126,1081,5377,6764,0,0
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=24, Cell Name=E_JKS803VE2_Gedungnucirave_VE02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,2546722,1138370,11841,93602,50,5237,8127,8117,7395,11811,14453,0,18248,20072,1890,16228,17741,15826,9430,45130,7550,764,2989,671,374,2809,158,135,3440,3001,3535,4438,5082,3654,25088,14608,0,0
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=15, Cell Name=E_JKP148VF2_Salembatngh_VF01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,1443219,0,6654,22750,0,3433,4905,4417,6175,6468,4661,0,7584,10246,851,12713,16704,21401,18851,26637,31111,1739,39648,1983,218,1342,493,615,1467,1351,1698,2270,2769,2769,15336,0,0,0
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=14, Cell Name=E_JKP148VE2_Salembatngh_VE01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,11217077,0,95969,323858,18,19712,24282,20119,25203,31842,27418,0,39029,42093,8062,43816,47243,42664,36378,86457,81779,10649,82904,11287,3353,9848,2251,3385,10898,9757,11470,14976,18277,14837,174536,0,0,0
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=15, Cell Name=E_JSX024VF2_Kramatkebayoranlm-TBG_VF01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,5900544,9336514,37777,271146,5705,27771,47734,23467,41641,51000,36212,0,45400,41186,3046,39361,38133,35422,29345,26793,29170,26277,248823,188955,2676,5746,3843,4176,8417,6102,10839,17192,20733,16462,78542,225225,0,0
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=14, Cell Name=E_JSX024VE2_Kramatkebayoranlm-TBG_VE01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,43332507,34331889,97049,585003,640,116508,134380,62965,111711,129781,114739,0,148660,133517,15771,154475,160023,167703,164440,160457,158285,99290,555158,315958,14046,25667,15271,22995,33931,30825,41871,66716,105547,60900,248383,495252,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=32, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,53095611,9345122,1206809,0,102968,146102,0,151049,167072,150988,113367,83572,69231,0,56065,50222,46154,44970,41782,36405,35449,29688,22083,15824,13356,1467,150012,57320,106329,45795,74677,93794,116364,111560,114596,124021,1498327,871996,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=22, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,35996352,12691482,1525540,0,124399,155504,0,168033,155279,132342,110605,98955,85329,0,83015,77325,53329,58546,39713,24433,15541,11552,6992,3341,1447,82,202760,79766,127856,56428,90217,105118,119062,131288,149816,162819,3137075,749737,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=12, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,20038722,10494564,517142,0,75534,68246,0,91873,92514,89195,82518,80343,67390,0,60427,50335,40659,35138,26453,17969,9296,3997,1994,1616,1407,496,154212,48212,94375,47809,54532,66222,76625,86621,94209,95063,1499548,619183,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=21, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,35485672,54684453,84988,0,234675,188038,0,183433,182510,158629,137345,132529,137139,0,106198,72907,117185,53837,42564,36484,35282,35838,24363,11139,8833,7070,274340,143410,178961,126655,158957,163107,171937,180768,180868,191532,851737,1627332,0,0
